,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,33.96,76,100,7.0,overcast clouds
1,Butaritari,KI,3.0707,172.7902,83.26,76,9,17.67,clear sky
2,Ushuaia,AR,-54.8,-68.3,44.26,76,75,13.8,light rain
3,Saint George,US,37.1041,-113.5841,79.39,22,1,1.01,clear sky
4,San Patricio,US,28.017,-97.5169,75.81,58,0,4.7,clear sky
5,Bluff,NZ,-46.6,168.3333,50.81,77,100,10.8,overcast clouds
6,Severo-Kurilsk,RU,50.6789,156.125,48.76,95,100,23.38,light rain
7,El Alto,PE,-4.2714,-81.2147,63.1,84,92,9.24,overcast clouds
8,Shetpe,KZ,44.1667,52.1167,81.68,13,0,28.3,clear sky
9,Jamestown,US,42.097,-79.2353,54.07,82,90,11.01,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,64.8,73,85,8.77,overcast clouds
11,Norman Wells,CA,65.282,-126.8329,39.24,75,40,10.36,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,50.49,75,100,2.95,overcast clouds
13,Pattoki,PK,31.0167,73.85,91.49,48,61,6.11,broken clouds
14,Grand Gaube,MU,-20.0064,57.6608,77.4,69,7,14.0,light rain
15,Komsomolskiy,UZ,40.4272,71.7189,81.32,19,0,4.61,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,43.29,85,100,13.0,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,67.28,59,82,11.97,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,74.1,78,100,20.69,overcast clouds
19,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,78,63,4.41,broken clouds
20,Vestmanna,FO,62.1564,-7.1664,49.12,93,75,29.93,broken clouds
21,Nikolskoye,RU,59.7035,30.7861,46.29,65,100,11.27,overcast clouds
22,Zhigansk,RU,66.7697,123.3711,42.6,61,100,13.47,overcast clouds
23,Cidreira,BR,-30.1811,-50.2056,60.75,94,100,5.06,overcast clouds
24,Luganville,VU,-15.5333,167.1667,77.11,87,95,12.8,light rain
25,Hilo,US,19.7297,-155.09,73.8,84,1,5.75,clear sky
26,Arawa,PG,-6.2132,155.5367,78.37,88,100,3.38,overcast clouds
27,Albany,US,42.6001,-73.9662,63.37,95,100,3.09,moderate rain
28,Sturgis,US,41.7992,-85.4192,51.6,57,40,5.75,scattered clouds
29,East London,ZA,-33.0153,27.9116,68.94,56,0,8.05,clear sky
30,Saldanha,ZA,-33.0117,17.9442,55.45,79,26,4.0,scattered clouds
31,Carlos Antonio Lopez,PY,-26.4,-54.7667,60.84,83,100,2.89,overcast clouds
32,Barcelos,PT,41.5388,-8.6151,68.14,80,100,4.29,overcast clouds
33,Kutum,SD,14.2,24.6667,84.33,18,89,15.68,overcast clouds
34,Busselton,AU,-33.65,115.3333,65.05,50,0,8.84,clear sky
35,Kursenai,LT,55.985,22.9189,50.25,91,100,16.84,light rain
36,Pallisa,UG,1.145,33.7094,82.22,52,94,2.55,overcast clouds
37,Sechura,PE,-5.5569,-80.8222,62.91,87,51,7.63,broken clouds
38,Palmer,US,42.1584,-72.3287,74.14,63,1,1.01,clear sky
39,Inhambane,MZ,-23.865,35.3833,76.98,53,20,5.75,few clouds
40,Kalachinsk,RU,55.0529,74.5751,50.11,55,78,15.84,broken clouds
41,Jogighopa,IN,26.2333,90.5833,92.97,56,35,3.11,scattered clouds
42,Verkhnevilyuysk,RU,63.4453,120.3167,45.27,65,100,8.39,overcast clouds
43,Ilulissat,GL,69.2167,-51.1,24.82,68,40,2.3,scattered clouds
44,Chicama,PE,-7.8447,-79.1469,63.01,87,25,4.59,scattered clouds
45,Paamiut,GL,61.994,-49.6678,31.08,54,8,19.51,clear sky
46,Port Elizabeth,ZA,-33.918,25.5701,69.1,59,0,4.61,clear sky
47,Haines Junction,CA,60.7522,-137.5108,39.15,87,100,8.05,light rain
48,Oktyabrskiy,RU,54.4815,53.471,58.96,38,100,18.03,light rain
49,Torbay,CA,47.6666,-52.7314,51.28,93,90,18.41,overcast clouds
50,Kahului,US,20.8947,-156.47,77.02,81,1,13.8,clear sky
51,Chokurdakh,RU,70.6333,147.9167,34.07,99,100,7.76,overcast clouds
52,San Ramon,US,37.7799,-121.978,73.49,61,1,1.01,clear sky
53,Dandong,CN,40.1292,124.3947,71.73,74,96,4.12,overcast clouds
54,Jasper,US,37.2001,-94.3502,60.35,69,1,1.01,clear sky
55,Acapulco,MX,16.8634,-99.8901,78.33,87,61,4.23,broken clouds
56,Marzuq,YE,14.4,46.4667,91.13,13,80,9.8,broken clouds
57,Zamosc,PL,50.7231,23.252,53.44,79,100,20.49,overcast clouds
58,Kapaa,US,22.0752,-159.319,79.12,76,75,3.0,light rain
59,Adrar,MR,20.5022,-10.0711,87.22,19,100,9.24,overcast clouds
60,Svetlaya,RU,46.5389,138.3297,56.44,74,5,7.49,clear sky
61,Kindu,CD,-2.95,25.95,79.18,66,100,4.07,overcast clouds
62,Avarua,CK,-21.2078,-159.775,71.65,68,75,3.44,broken clouds
63,Seoul,KR,37.5683,126.9778,81.79,42,20,8.05,few clouds
64,Sao Francisco,BR,-15.9486,-44.8644,70.29,62,4,8.12,clear sky
65,Puerto Maldonado,PE,-12.6,-69.1833,72.07,75,36,2.82,scattered clouds
66,Faanui,PF,-16.4833,-151.75,77.38,69,15,9.13,few clouds
67,Salalah,OM,17.0151,54.0924,87.89,66,40,11.5,scattered clouds
68,Faya,SA,18.3851,42.4509,79.32,22,99,6.17,overcast clouds
69,Talnakh,RU,69.4865,88.3972,40.37,60,1,2.71,clear sky
70,Cabedelo,BR,-6.9811,-34.8339,75.87,84,16,9.31,few clouds
71,Alofi,NU,-19.0595,-169.9187,67.89,88,8,1.14,clear sky
72,Kitale,KE,1.0157,35.0062,73.47,53,97,2.57,overcast clouds
73,Barrow,US,71.2906,-156.7887,30.22,86,90,4.76,mist
74,College,US,64.8569,-147.8028,36.59,73,90,1.01,light snow
75,Canyon Lake,US,29.8752,-98.2625,66.11,70,0,3.0,clear sky
76,Cherskiy,RU,68.75,161.3,27.7,77,100,2.64,overcast clouds
77,Angoche,MZ,-16.2325,39.9086,80.46,56,26,9.33,scattered clouds
78,Vaini,TO,-21.2,-175.2,71.76,100,90,5.75,overcast clouds
79,Hadgaon,IN,19.5,77.6667,83.66,72,95,2.98,overcast clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,68.61,90,97,7.38,overcast clouds
81,Kongolo,CD,-5.3833,27.0,82.44,54,100,3.13,overcast clouds
82,Xai-Xai,MZ,-25.0519,33.6442,78.87,39,0,6.87,clear sky
83,Georgetown,MY,5.4112,100.3354,89.55,66,20,10.36,thunderstorm
84,Aykhal,RU,66.0,111.5,40.15,76,100,7.4,overcast clouds
85,Huarmey,PE,-10.0681,-78.1522,62.33,86,11,6.22,few clouds
86,Lata,PT,40.1629,-8.3327,62.82,87,8,2.91,clear sky
87,Henties Bay,NA,-22.116,14.2845,62.47,68,0,7.76,clear sky
88,Vardo,NO,70.3705,31.1107,46.6,81,75,23.02,broken clouds
89,Ponta Do Sol,PT,32.6667,-17.1,68.72,62,22,3.94,few clouds
90,Neiafu,TO,-18.65,-173.9833,77.0,76,76,7.34,broken clouds
91,Luderitz,NA,-26.6481,15.1594,71.22,35,0,17.78,clear sky
92,Pasighat,IN,28.0667,95.3333,91.67,54,13,4.63,few clouds
93,Guerrero Negro,MX,27.9769,-114.0611,71.49,82,100,10.89,overcast clouds
94,Bredasdorp,ZA,-34.5322,20.0403,64.27,63,98,6.91,overcast clouds
95,Alice Springs,AU,-23.7,133.8833,81.95,7,2,9.22,clear sky
96,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,6.91,scattered clouds
97,Nemuro,JP,43.3236,145.575,57.63,67,3,12.19,clear sky
98,Toyooka,JP,35.5333,134.8333,73.45,78,75,5.75,broken clouds
99,Provideniya,RU,64.3833,-173.3,33.82,98,100,15.05,moderate rain
100,Lusambo,CD,-4.9667,23.45,79.66,67,99,0.31,overcast clouds
101,Thompson,CA,55.7435,-97.8558,44.76,100,90,13.8,overcast clouds
102,Talcahuano,CL,-36.7167,-73.1167,47.88,100,3,4.61,clear sky
103,Korla,CN,41.7597,86.1469,81.48,19,0,14.05,clear sky
104,Victoria,HK,22.2855,114.1577,91.96,75,14,1.99,few clouds
105,Cape Town,ZA,-33.9258,18.4232,63.1,80,75,1.01,broken clouds
106,Sao Filipe,CV,14.8961,-24.4956,78.01,77,100,8.3,overcast clouds
107,Venado Tuerto,AR,-33.7456,-61.9688,46.76,93,2,5.3,clear sky
108,Port-Cartier,CA,50.0334,-66.8654,50.76,92,100,12.95,overcast clouds
109,Kirakira,SB,-10.4544,161.9205,79.25,85,38,7.65,scattered clouds
110,Sorong,ID,-0.8833,131.25,77.02,90,100,10.65,light rain
111,Panji,ID,-7.7253,114.0995,86.07,58,54,8.05,broken clouds
112,Port Lincoln,AU,-34.7333,135.8667,54.66,67,74,15.97,broken clouds
113,Mahibadhoo,MV,3.7833,72.9667,82.45,77,99,13.0,overcast clouds
114,Fare,PF,-16.7,-151.0167,77.34,71,5,9.82,clear sky
115,San Jose,US,37.3394,-121.895,72.72,60,20,0.0,few clouds
116,Yellowknife,CA,62.456,-114.3525,43.32,100,90,6.91,overcast clouds
117,Labuhan,ID,-6.8844,112.2051,84.99,63,70,13.78,broken clouds
118,Maceio,BR,-9.6658,-35.7353,78.24,88,40,6.91,scattered clouds
119,Sitka,US,57.0531,-135.33,57.09,88,90,18.41,light rain
120,Caucaia,BR,-3.7361,-38.6531,80.55,73,75,14.97,broken clouds
121,Broken Hill,AU,-31.95,141.4333,80.31,11,1,19.57,clear sky
122,Katsuura,JP,35.1333,140.3,82.51,71,26,10.2,scattered clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,41.02,100,1,0.0,fog
124,Prince Rupert,CA,54.3161,-130.3201,56.89,89,90,20.71,moderate rain
125,Racale,IT,39.9631,18.0938,69.35,52,100,7.58,overcast clouds
126,Namatanai,PG,-3.6667,152.4333,80.58,80,37,10.22,light rain
127,Kosovska Mitrovica,XK,42.8833,20.8667,48.6,38,93,3.96,overcast clouds
128,Raudeberg,NO,61.9875,5.1352,47.86,87,100,14.0,light rain
129,Sobolevo,RU,54.4299,31.8996,43.95,95,100,18.07,moderate rain
130,Lianzhou,CN,24.7811,112.3825,92.91,46,12,7.87,few clouds
131,Quelimane,MZ,-17.8786,36.8883,76.95,65,40,2.3,scattered clouds
132,Dovers,VC,12.8833,-61.1833,83.16,74,11,12.3,few clouds
133,Taoudenni,ML,22.6783,-3.9836,94.82,13,30,4.83,scattered clouds
134,Fillmore,US,43.6666,-92.1002,56.23,71,1,5.75,clear sky
135,Chuy,UY,-33.6971,-53.4616,53.64,96,19,7.7,few clouds
136,Dikson,RU,73.5069,80.5464,35.11,77,48,11.32,scattered clouds
137,Ouesso,CG,1.6136,16.0517,82.76,62,74,3.29,broken clouds
138,Baruun-Urt,MN,46.6806,113.2792,61.72,63,84,13.91,broken clouds
139,Krasnoarmeysk,RU,51.0239,45.6969,52.07,76,100,5.14,light rain
140,Shakawe,BW,-18.3667,21.85,87.33,19,0,9.19,clear sky
141,Cap-Aux-Meules,CA,47.3821,-61.8597,57.22,100,44,9.22,scattered clouds
142,Pisco,PE,-13.7,-76.2167,60.03,82,74,2.3,broken clouds
143,Dingle,PH,10.9995,122.6711,85.44,77,92,9.53,overcast clouds
144,Vila Velha,BR,-20.3297,-40.2925,62.55,94,75,4.61,broken clouds
145,Atuona,PF,-9.8,-139.0333,78.03,73,83,19.15,broken clouds
146,Do Gonbadan,IR,30.3586,50.7981,95.09,13,0,0.0,clear sky
147,Anloga,GH,5.7947,0.8973,80.82,79,62,11.54,light rain
148,Martapura,ID,-3.4167,114.85,82.49,74,40,8.05,scattered clouds
149,Uyar,RU,55.81,94.3153,41.29,64,94,4.83,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,34.83,85,100,6.89,overcast clouds
151,Santa Rosa,PH,14.3122,121.1114,89.58,69,18,11.14,few clouds
152,Airai,TL,-8.9266,125.4092,67.3,61,100,1.63,overcast clouds
153,Arraial Do Cabo,BR,-22.9661,-42.0278,66.88,65,43,14.32,scattered clouds
154,Camana,PE,-16.6228,-72.7111,59.94,88,59,4.43,broken clouds
155,Rawson,AR,-43.3002,-65.1023,57.7,48,63,14.79,broken clouds
156,Twin Falls,US,42.3505,-114.6445,52.14,47,1,12.66,clear sky
157,Nuuk,GL,64.1835,-51.7216,29.75,47,22,11.41,few clouds
158,Newcastle,AU,-32.9272,151.7765,78.57,29,100,18.41,overcast clouds
159,Qaanaaq,GL,77.484,-69.3632,15.44,61,99,5.77,overcast clouds
160,Hithadhoo,MV,-0.6,73.0833,79.68,75,100,11.95,moderate rain
161,Upernavik,GL,72.7868,-56.1549,26.71,92,100,10.18,light snow
162,Souillac,MU,-20.5167,57.5167,77.38,73,40,13.8,scattered clouds
163,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,14.97,broken clouds
164,Cayenne,GF,4.9333,-52.3333,78.1,89,75,0.0,broken clouds
165,Narsaq,GL,60.9167,-46.05,30.42,43,0,3.24,clear sky
166,Hvide Sande,DK,56.0045,8.1294,58.08,76,0,13.8,clear sky
167,Rocha,UY,-34.4833,-54.3333,50.4,97,29,3.98,scattered clouds
168,Iqaluit,CA,63.7506,-68.5145,29.93,93,90,14.97,light snow
169,Necochea,AR,-38.5473,-58.7368,46.04,92,0,6.93,clear sky
170,Havre,FR,49.5833,0.3333,58.77,94,90,9.22,overcast clouds
171,Nanortalik,GL,60.1432,-45.2371,34.36,65,1,18.34,clear sky
172,Byron Bay,AU,-28.65,153.6167,82.51,67,3,17.58,clear sky
173,Moussoro,TD,13.6408,16.4901,91.15,29,67,5.3,broken clouds
174,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,88,40,6.91,scattered clouds
175,Utrecht,NL,52.0,5.25,64.0,95,87,3.0,overcast clouds
176,Clyde River,CA,70.4692,-68.5914,27.63,68,54,6.04,broken clouds
177,Brzesko,PL,49.9691,20.6061,55.45,80,100,5.99,overcast clouds
178,Rincon Viejo,MX,16.9,-95.05,70.56,95,96,5.39,overcast clouds
179,Hobart,AU,-42.8794,147.3294,42.66,83,75,3.0,broken clouds
180,Hay River,CA,60.8156,-115.7999,39.18,93,40,5.75,scattered clouds
181,New Norfolk,AU,-42.7826,147.0587,42.3,71,17,3.0,few clouds
182,Villa Carlos Paz,AR,-31.4241,-64.4978,48.4,61,0,2.35,clear sky
183,Karavukovo,RS,45.495,19.1881,53.62,44,56,6.96,broken clouds
184,Nouadhibou,MR,20.931,-17.0347,67.98,94,20,12.66,few clouds
185,Manokwari,ID,-0.8667,134.0833,81.32,77,91,11.52,overcast clouds
186,Rantepao,ID,-2.9701,119.8978,70.7,96,100,0.04,overcast clouds
187,Christchurch,NZ,-43.5333,172.6333,57.4,63,0,6.91,clear sky
188,Margate,GB,51.3813,1.3862,59.7,85,83,1.99,broken clouds
189,Gilgit,PK,35.9221,74.3087,82.0,33,11,3.0,few clouds
190,Carnarvon,AU,-24.8667,113.6333,77.07,57,0,18.41,clear sky
191,Opuwo,NA,-18.0607,13.84,88.38,8,4,14.99,clear sky
192,Port Hardy,CA,50.6996,-127.4199,51.8,100,75,0.0,broken clouds
193,Saint-Philippe,RE,-21.3585,55.7679,78.35,82,41,12.93,light rain
194,Ylojarvi,FI,61.5563,23.5961,48.61,78,75,10.36,broken clouds
195,Tuktoyaktuk,CA,69.4541,-133.0374,31.86,77,100,11.14,overcast clouds
196,Breves,BR,-1.6822,-50.4803,72.64,98,57,3.29,broken clouds
197,Oxford,GB,51.7522,-1.256,57.06,94,75,5.75,broken clouds
198,Kodiak,US,57.79,-152.4072,39.88,68,0,20.47,clear sky
199,Raga,SS,8.4596,25.678,79.81,66,53,5.95,broken clouds
200,Bonthe,SL,7.5264,-12.505,78.62,83,82,6.31,broken clouds
201,Touros,BR,-5.1989,-35.4608,74.3,82,55,12.75,broken clouds
202,Lakes Entrance,AU,-37.8811,147.981,62.58,78,16,18.3,few clouds
203,Binzhou,CN,37.3667,118.0167,78.19,75,100,6.51,overcast clouds
204,Tautira,PF,-17.7333,-149.15,75.22,73,8,12.03,clear sky
205,Methoni,GR,36.8197,21.7049,73.22,64,19,3.87,few clouds
206,Santa Filomena,PH,9.7518,123.3446,84.49,75,100,12.82,overcast clouds
207,Mahebourg,MU,-20.4081,57.7,77.29,73,40,13.8,scattered clouds
208,Lagoa,PT,39.05,-27.9833,68.29,70,100,12.97,overcast clouds
209,Khani,GE,41.9563,42.9566,54.97,97,100,4.21,overcast clouds
210,Lavrentiya,RU,65.5833,-171.0,32.45,81,100,10.18,overcast clouds
211,Tatarsk,RU,55.219,75.9828,49.28,56,93,16.37,overcast clouds
212,Marrakesh,MA,31.6315,-8.0083,66.27,82,75,5.75,broken clouds
213,Hamilton,US,39.1834,-84.5333,50.63,90,20,0.0,few clouds
214,Hirara,JP,24.8,125.2833,86.27,70,40,13.8,scattered clouds
215,Lebu,CL,-37.6167,-73.65,49.78,85,3,7.99,clear sky
216,Penzance,GB,50.1186,-5.5371,59.07,100,40,3.44,fog
217,Boda,CF,4.3189,17.4695,73.4,92,100,2.33,moderate rain
218,Lorengau,PG,-2.0226,147.2712,82.81,73,83,10.07,broken clouds
219,Krasnorechenskiy,RU,44.6265,135.3532,57.29,63,2,4.03,clear sky
220,Qaqortoq,GL,60.7167,-46.0333,30.7,54,0,4.94,clear sky
221,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,84,40,5.75,scattered clouds
222,Russell,US,32.3502,-85.1999,56.8,92,1,0.0,fog
223,Hami,CN,42.8,93.45,82.02,12,6,0.72,clear sky
224,Altoona,US,40.5187,-78.3947,52.23,81,3,5.21,clear sky
225,Waitakere,NZ,-36.9175,174.6577,56.86,84,75,3.0,broken clouds
226,Buchanan,LR,5.8808,-10.0467,75.31,92,98,8.21,moderate rain
227,Bethel,US,41.3712,-73.414,70.48,94,90,3.44,thunderstorm with heavy rain
228,Vestmannaeyjar,IS,63.4427,-20.2734,43.66,74,98,10.49,overcast clouds
229,Sandwick,GB,60.0,-1.25,53.42,100,90,31.07,light intensity drizzle
230,Leningradskiy,RU,69.3833,178.4167,25.88,91,100,14.58,overcast clouds
231,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,53.96,96,19,8.46,few clouds
232,Flinders,AU,-34.5833,150.8552,75.25,46,0,9.57,clear sky
233,Lugovskoy,RU,56.9585,64.529,53.82,42,6,7.29,clear sky
234,Kiunga,PG,-6.1219,141.2906,75.81,97,99,2.55,overcast clouds
235,Londoko,RU,49.0333,131.9833,58.05,62,100,2.59,overcast clouds
